,cashtag,conversation_parent,conversation_replies,created_at,liked_by_self,official_account,sentiment,sentiment score,source,spans,text,total_likes,clean_text,base_text,POS_VB,POS_VBD,POS_VBG,POS_VBN,POS_VBP,POS_VBZ,POS_VM,=+num,=-num,num%,=+num%,=-num%,$num,word_num,ordinal_num,num-num,num-num%,num-num-num,num/num,num/num/num,only_number,call_+num%,call_-num%,put_+num%,put_-num%,bull,bear,number_of_!,number_of_?,number_of_$,continous_!,continous_?,AFINN_sum_score,AFINN_max_score,AFINN_min_score,AFINN_pos_ratio,AFINN_neg_ratio,BingLiu_pos_ratio,BingLiu_neg_ratio,General_Inquirer_pos_ratio,General_Inquirer_neg_ratio,NRC_Hashtag_sum_score,NRC_Hashtag_max_score,NRC_Hashtag_min_score,NRC_Hashtag_pos_ratio,NRC_Hashtag_neg_ratio,SentiWordNet_sum_score,SentiWordNet_max_score,SentiWordNet_min_score,SentiWordNet_pos_ratio,SentiWordNet_neg_ratio,Avg_TFIDF_1-grams,Avg_TFIDF_2-grams,Avg_TFIDF_3-grams,Avg_TFIDF_4-grams,caps_word,hashtags
10,$AMD,,0,"[3pm,24pm)",0,0,,-0.699,stocktwits,"['big dumping', 'would not touch it for a while']",$AMD big dumping... would not touch it for a while,0,$AMD big dumping would not touch it for a while,$AMD big dump would not touch it for a while,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.2,0,0.1,0,0,0.1,0,0,-0.513390077,0.022628192,-0.148709432,0.1,0.8,-0.5,0.125,-0.625,0.2,0.2,4.99602283,7.3747458,7.589613999,7.589613999,0,0
11,$SPY,,0,"[3pm,24pm)",0,1,Bullish,0.495,stocktwits,"['trade continuing very nicely from yesterday', 'looking very strong here']","$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",0,$WAC trade continuing very nicely from yesterday almost up $3 from yesterday entry deal pricing tonight looking very strong here $SPY,$WAC trade continu veri nice from yesterday almost up $3 from yesterday entri deal price tonight look veri strong here $SPY,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.4,0.4,0,0.047619048,0,0.095238095,0,0,0,-0.504186561,0.14677185,-0.122967269,0.19047619,0.761904762,0.75,0.5,0,0.133333333,0,6.557661723,7.615178067,7.184148891,7.184148891,0,0
12,$ASMB,,0,"[3pm,24pm)",0,0,,-0.385,stocktwits,['Stochastic Overbought'],End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,0,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB _url,end Of day scan: stochast overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB _url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.030101723,0.073420525,-0.022074597,0.058823529,0.117647059,0,0,0,0,0,4.297301999,5.400186983,5.481971836,5.554535114,0,0
13,$CHK,,0,"[3pm,24pm)",0,0,,0.279,stocktwits,['reserves are in decline'],Headline should read: &quot;Saudi&#39;s are in capable of increasing oil capacity because reserves are in decline.&quot; http://stks.co/Xwy $XOM $CHK $BP,0,Headline should read: Saudi's are in capable of increasing oil capacity because reserves are in decline _url $XOM $CHK $BP,headlin should read: saudi' are in capabl of increas oil capac becaus reserv are in declin _url $XOM $CHK $BP,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.2,0.2,0,0.05,0,0.05,0.05,0,0,-1.055567089,0.038405647,-0.300671234,0.05,0.65,1.125,0.875,-0.125,0.444444444,0.111111111,6.044191707,7.66309215,7.184148891,7.184148891,0,0
14,$CELG,,0,"[3pm,24pm)",0,0,,0.591,stocktwits,"['all on a longer-term, technical swing long basis.']","So as of today&#39;s close (8/15/14), I&#39;m long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",0.333333333,So as of today's close (8/15/14) I am long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term technical swing long basis .,So a of today' close (8/15/14) I am long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term technic swing long basi .,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-0.723064148,0.007265933,-0.101238669,0.08,0.6,0.25,0.125,0,0.25,0,5.039356265,6.618315537,6.673323267,6.673323267,0,0
15,$BBRY,,0,"[3pm,24pm)",0,0,,0.361,stocktwits,"[""let's see a big bounce""]",$BBRY let&#39;s see a big bounce,0,$BBRY let us see a big bounce,$BBRY let u see a big bounc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.2,0,0.142857143,0,0,0,0,0,-0.196664591,0.00103799,-0.058750259,0.142857143,0.714285714,0.25,0.125,0,0.5,0,5.248941201,6.739314654,7.053134695,7.589613999,0,0
16,$NVTL,,0,"[3pm,24pm)",0,0,Bullish,0.26,stocktwits,['above 2.25 and it could get going?'],$NVTL above 2.25 and it could get going?,0,$NVTL above 2.25 and it could get going ?,$NVTL abov 2.25 and it could get go ?,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.324199017,0.015569857,-0.137775932,0.111111111,0.666666667,0.125,0.125,0,0.5,0,4.502917393,7.086478337,7.589613999,7.589613999,0,0
17,$GDX,0,0.233333333,"[3pm,24pm)",0,1,,0.29,stocktwits,['possible double bottom set up'],@catskillfishing  Note the monthly chart of $GDX &amp; how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,0,Note the monthly chart of $GDX & how it recaptured support $GLD possible double bottom set up _url,note the monthli chart of $GDX & how it recaptur support $GLD possibl doubl bottom set up _url,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.4,0.4,0,0.055555556,0,0.055555556,0,0,0,-0.716213411,0.049892741,-0.197979379,0.166666667,0.611111111,0.625,0.5,-0.125,0.2,0.1,5.066188502,7.367220048,7.589613999,7.589613999,0,0
18,$ISRG,,0,"[9am,3pm)",0,1,,0.887,stocktwits,"['trading at all-time high', 'strong earnings report']",$isrg trading at all-time high after strong earnings report with 4 days of short interest.,0.166666667,$isrg trading at all-time high after strong earnings report with 4 days of short interest .,$isrg trade at all-tim high after strong earn report with 4 day of short interest .,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6,0.4,0,0.125,0,0.0625,0,0,0,-0.570202754,0.037852052,-0.19244343,0.125,0.75,0.625,0.5,-0.125,0.222222222,0.111111111,4.792095793,7.425561225,7.55582524,7.589613999,0,0
19,$VLTC,,0,"[3pm,24pm)",0,0,,0.33,stocktwits,['If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros'],"$ISR SPECULATION - If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros $PTBI, Icahn $VLTC, et al.",0.166666667,$ISR SPECULATION - If positive outcome with lung study5/8 we may see a 13D Filing by Soros $PTBI Icahn $VLTC et al .,$ISR specul - If posit outcom with lung study5/8 we may see a 13d file by soro $PTBI icahn $VLTC et al .,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0.4,0.4,0,0.043478261,0,0.043478261,0,0,0,-0.647567642,0.184693101,-0.189952252,0.173913043,0.52173913,0.5,0.625,-0.125,0.142857143,0.142857143,5.694159142,6.864589168,6.87930193,6.896466818,1,0
20,$UVXY,,0,"[3pm,24pm)",0,0,,-0.32,stocktwits,"['Put the chum out there at key support then next level down', 'careful']",$UVXY Put the chum out there at key support then next level down - careful,0,$UVXY Put the chum out there at key support then next level down - careful,$UVXY put the chum out there at key support then next level down - care,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8,0.4,0,0.133333333,0,0.066666667,0,0,0,-0.864023251,0.036606463,-0.330288561,0.066666667,0.866666667,-0.25,0.125,-0.25,0.111111111,0.222222222,5.18668358,7.55582524,7.589613999,7.589613999,0,0
21,$C,1,0.016666667,"[0am,9am)",0,0,,0.329,stocktwits,['Good idea buy half this and half BAC?'],$C Good idea buy half this and half BAC?,0,$C Good idea buy half this and half BAC ?,$C good idea buy half thi and half bac ?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6,0.6,0,0.1,0,0.1,0,0,0,-0.513528476,0.039236039,-0.201439347,0.2,0.7,0.875,0.75,0,0.5,0,6.143581198,7.531690412,7.589613999,7.589613999,1,0
22,$BABA,,0,"[9am,3pm)",0,0,,-0.39,stocktwits,['Alibaba IPO hoopla canâ€™t hide risk of Chinese stocks'],&quot;Alibaba IPO hoopla can’t hide risk of Chinese stocks&quot; http://stks.co/g153b and http://stks.co/h151z $BABA $SPY #notForMe,0,Alibaba IPO hoopla can not hide risk of Chinese stocks _url and _url $BABA $SPY #notForMe,alibaba ipo hoopla can not hide risk of chines stock _url and _url $BABA $SPY #notform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.6,0,-0.4,0,0.125,0,0.0625,0,0,-1.107328213,0.07715729,-0.733444052,0.1875,0.4375,-0.875,0.125,-0.625,0.142857143,0.428571429,5.222918578,6.990737705,7.137710198,7.184148891,1,1
23,$AMTD,,0,"[3pm,24pm)",0,0,,0.591,stocktwits,"['all on a longer-term, technical swing long basis.']","So as of today&#39;s close (8/15/14), I&#39;m long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",0.333333333,So as of today's close (8/15/14) I am long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term technical swing long basis .,So a of today' close (8/15/14) I am long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term technic swing long basi .,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-0.723064148,0.007265933,-0.101238669,0.08,0.6,0.25,0.125,0,0.25,0,5.039356265,6.618315537,6.673323267,6.673323267,0,0
24,$ZC_F,,0,"[3pm,24pm)",0,0,,-0.122,stocktwits,['looks like drought conditions in soil already'],"$ZC_F One thing you can&#39;t short here is $DBA food. Its barely getting warm in chicago, and it looks like drought conditions in soil already",0,$ZC_F One thing you can not short here is $DBA food Its barely getting warm in chicago and it looks like drought conditions in soil already,$ZC_F one thing you can not short here is $DBA food it bare get warm in chicago and it look like drought condit in soil alreadi,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.6,0.4,0,0.076923077,0,0.076923077,0.038461538,0,0,-0.922150716,0.138606325,-0.167116463,0.153846154,0.769230769,-0.875,0.125,-0.625,0.307692308,0.230769231,5.41021023,7.270746968,7.589613999,7.589613999,0,0
25,$GALE,,0,"[3pm,24pm)",0,0,Bullish,0.36,stocktwits,"[""Can't imagine shorts wanting to go into the weekend without taking care of their position""]",$GALE Can&#39;t imagine shorts wanting to go into the weekend without taking care of their position.,0.5,$GALE can not imagine shorts wanting to go into the weekend without taking care of their position .,$GALE can not imagin short want to go into the weekend without take care of their posit .,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0.4,0,0.055555556,0,0,0,0,0,-1.040135631,0.066638987,-0.178188361,0.055555556,0.888888889,-0.875,0.25,-0.625,0.111111111,0.222222222,5.104887393,7.283272676,7.589613999,7.589613999,0,0
26,$VRS,,0,"[3pm,24pm)",0,0,,0.113,stocktwits,"['nice volume', 'watch 330 resistance']",$VRS nice volume.watch 330 resistance,0,$VRS nice volume atch 330 resistance,$VRS nice volum atch 330 resist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6,0.6,0,0.166666667,0,0.166666667,0.166666667,0,0,0.046501972,0.087537195,-0.060964639,0.5,0.166666667,0.125,0.875,-0.75,0.333333333,0.333333333,5.675633206,7.454458963,7.589613999,7.589613999,0,0
27,$SIMO,,0,"[3pm,24pm)",0,0,Bullish,0.408,stocktwits,"['$SIMO Basing nice', 'A close over 24.18 is bullish']",&quot;@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY&quot; watch for a close near HOD. Currently up +3%&quot; up +5%,0,$SIMO Basing nice A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD Currently up +3% up 5 %,$SIMO base nice A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near hod current up +3% up 5 %,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0.6,0.6,0,0.041666667,0,0.083333333,0,0,0,-0.648536433,0.087537195,-0.162826102,0.083333333,0.583333333,0.625,0.5,0,0.222222222,0,5.555275836,7.381302445,7.589613999,7.589613999,1,0
28,$FB,,0,"[0am,9am)",0,0,,0.645,stocktwits,['Big Money Is Pouring Into Facebook From All Directions'],$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,0.166666667,$FB Big Money Is Pouring Into Facebok From All Directions url,$FB big money Is pour into facebok from all direct url,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.2,0,0.090909091,0,0,0,0,0,-0.306760778,0.106774618,-0.210296865,0.090909091,0.727272727,0.125,0.125,0,0.2,0,5.453495257,7.589613999,7.589613999,7.589613999,0,0
29,$BIDU,,0,"[3pm,24pm)",0,0,,-0.221,stocktwits,['Out $BIDU for now'],Out $BIDU for now.  Clearing some cash.  Will look for re-entry next week.,0,Out $BIDU for now Clearing some cash Will look for re-entry next week .,out $BIDU for now clear some cash will look for re-entri next week .,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.474569234,0,-0.107466611,0,0.857142857,0.125,0.125,0,0.142857143,0,5.295558238,7.228788113,7.552753535,7.589613999,0,0
30,$MAR,,0,"[3pm,24pm)",0,1,,0.407,stocktwits,['Defying the Downturn'],"Steinerâ€™s Spas Sail With the Wealthy, Defying the Downturn http://stks.co/1UwM $STNR $MAR $M $JWN",0,Steinerâ€™s Spas Sail With the Wealthy Defying the Downturn _url $STNR $MAR $M $JWN,steinerâ€™ spa sail with the wealthi defi the downturn _url $STNR $MAR $M $JWN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.4,0.4,0,0.071428571,0,0.071428571,0.071428571,0,0,-0.052383918,0.120476092,-0.113556155,0.214285714,0.285714286,0.5,0.5,0,0.333333333,0,5.911556994,6.998151509,7.184148891,7.184148891,0,0
31,$PSDV,,0,"[3pm,24pm)",0,0,,-0.291,stocktwits,['but man this is one to be careful with'],"$PSDV someone may have pointed this out earlier, think i recall a post, but man this is one to be careful with",0,$PSDV someone may have pointed this out earlier think i recall a post but man this is one to be careful with,$PSDV someon may have point thi out earlier think i recal a post but man thi is one to be care with,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0.4,0,0.045454545,0,0,0,0,0,-1.235277835,0.013217078,-0.13805273,0.045454545,0.909090909,1,0.5,0,0.333333333,0,5.20098623,7.287619386,7.589613999,7.589613999,0,0
32,$NG,1,0.05,"[3pm,24pm)",0,0,Bearish,0.165,stocktwits,"['just follow the trend, follow the money flow']","$ung $dgaz $ugaz $ng    dont listen to news, don&#39;t look at other twits… just follow the trend, follow the money flow http://stks.co/h1U8w",0.333333333,$ung $dgaz $ugaz $ng don listen to news do not look at other twits… just follow the trend follow the money flow _url,$ung $dgaz $ugaz $ng don listen to news do not look at other twits… just follow the trend follow the money flow _url,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-1.140474708,0.033976887,-0.210296865,0.086956522,0.652173913,-1.25,0,-0.625,0,0.153846154,5.39529737,7.047033627,6.87261593,6.896466818,0,0
33,$DANG,,0,"[9am,3pm)",0,0,,0.224,stocktwits,['tapping on 10.00'],$DANG tapping on 10.00,0,$DANG tapping on 10.00,$DANG tap on 10.00,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.056605079,0,-0.031624109,0,0.5,0,0,0,0,0,5.255541506,7.589613999,,,0,0
34,$GTAT,,0,"[3pm,24pm)",0,0,Bearish,-0.46,stocktwits,['Will re-enter short on bounce..'],$GTAT Will re-enter short on bounce...,0,$GTAT Will re-enter short on bounce bounce ...,$GTAT will re-ent short on bounc bounc .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.128434018,0.00103799,-0.049892741,0.25,0.5,0.25,0.125,0,0.5,0,6.111724557,7.522036481,7.589613999,7.589613999,0,0
35,$XRS,1,0.016666667,"[3pm,24pm)",0,0,,0.448,stocktwits,['Found some good bull setups this week'],Found some good bull setups this week: $REGN $XRS $SNCR $TJX $NTES $ABC $ECHO $AMAG $HAWK $PANW $TAM $AGN --&gt; Let&#39;s see if mkt helps out,0.166666667,Found some good bull setups this week: $REGN $XRS $SNCR $TJX $NTES $ABC $ECHO $AMAG $HAWK $PANW $TAM $AGN --> let us see if mkt helps out,found some good bull setup thi week: $REGN $XRS $SNCR $TJX $NTES $ABC $ECHO $AMAG $HAWK $PANW $TAM $AGN --> let u see if mkt help out,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,1,0.6,0,0.074074074,0,0.037037037,0,0,0,-0.510552903,0.046294374,-0.127396028,0.111111111,0.333333333,0.75,0.75,0,0.142857143,0,4.986176426,6.329633197,6.435587018,6.476988012,0,0
36,$RIMM,,0,"[3pm,24pm)",0,0,,-0.559,stocktwits,['all going down'],$RIMM $spx $nya $compq $djia all going down,0,$RIMM $spx $nya $compq $djia all going down,$RIMM $spx $nya $compq $djia all go down,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-0.091965954,0,-0.033838489,0,0.375,-0.125,0,-0.125,0,0.5,4.436556945,6.673323267,6.673323267,,0,0
37,$UVXY,,0,"[3pm,24pm)",0,0,,-0.131,stocktwits,['so volatile!'],$UVXY so volatile! yowza :P,0,$UVXY so volatile! yowza :P,$UVXY so volatile! yowza :P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.043941596,0,-0.043941596,0,0.2,0,0,0,0,0,6.655160539,7.589613999,7.589613999,,0,0
