,index,cashtag,conversation_parent,conversation_replies,created_at,liked_by_self,official_account,sentiment,sentiment score,source,spans,text,total_likes,clean_text,base_text,POS_VB,POS_VBD,POS_VBG,POS_VBN,POS_VBP,POS_VBZ,POS_VM,+num,-num,num%,+num%,-num%,$num,word_num,ordinal_num,num-num,num-num%,num-num-num,num/num,num/num/num,only_number,call_+num%,call_-num%,put_+num%,put_-num%,bull,bear,number_of_!,number_of_?,number_of_$,continous_!,continous_?,AFINN_sum_score,AFINN_max_score,AFINN_min_score,AFINN_pos_ratio,AFINN_neg_ratio,BingLiu_pos_ratio,BingLiu_neg_ratio,General_Inquirer_pos_ratio,General_Inquirer_neg_ratio,NRC_Hashtag_sum_score,NRC_Hashtag_max_score,NRC_Hashtag_min_score,NRC_Hashtag_pos_ratio,NRC_Hashtag_neg_ratio,SentiWordNet_sum_score,SentiWordNet_max_score,SentiWordNet_min_score,SentiWordNet_pos_ratio,SentiWordNet_neg_ratio,Avg_TFIDF_1-grams,Avg_rf_1-grams,Avg_TFIDF_2-grams,Avg_rf_2-grams,Avg_TFIDF_3-grams,Avg_rf_3-grams,Avg_TFIDF_4-grams,Avg_rf_4-grams,W2V_50_Means,GloVe40_Means
10,10,$AMD,,0.0,"[3pm,24pm)",0.0,0.0,,-0.6990000000000001,stocktwits,"['big dumping', 'would not touch it for a while']",$AMD big dumping... would not touch it for a while,0.0,$AMD big dumping would not touch it for a while,$AMD big dump would not touch it for a while,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19999999999999996,0.19999999999999996,0.0,0.1,0.0,0.0,0.1,0.0,0.0,-0.513390076811294,0.022628191820635024,-0.14870943187322683,0.1,0.8,-0.5,0.125,-0.625,0.2,0.2,4.996022830006289,1.303993389926286,7.374745799506179,1.161731253279401,7.589613999045647,1.0986122886681098,7.589613999045648,1.0986122886681098,23,38
11,11,$SPY,,0.0,"[3pm,24pm)",0.0,1.0,Bullish,0.495,stocktwits,"['trade continuing very nicely from yesterday', 'looking very strong here']","$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",0.0,$WAC trade continuing very nicely from yesterday almost up $3 from yesterday entry deal pricing tonight looking very strong here $SPY,$WAC trade continu veri nice from yesterday almost up $3 from yesterday entri deal price tonight look veri strong here $SPY,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.3999999999999999,0.3999999999999999,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,-0.5041865614836362,0.14677184969898271,-0.12296726870112806,0.19047619047619047,0.7619047619047619,0.75,0.5,0.0,0.13333333333333333,0.0,6.557661722853477,2.1348183303505905,7.61517806709284,1.5375673691605423,7.184148890937483,1.3862943611198906,7.1841488909374815,1.3862943611198906,6,4
12,13,$ASMB,,0.0,"[3pm,24pm)",0.0,0.0,,-0.385,stocktwits,['Stochastic Overbought'],End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,0.0,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB _url,end Of day scan: stochast overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB _url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030101723064147712,0.07342052453117431,-0.0220745969137085,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,4.297301998693763,1.7371341977049963,5.400186982911624,2.067583278371178,5.481971836453977,2.1956766629173847,5.554535114005652,2.387816739736694,43,34
13,14,$CHK,,0.0,"[3pm,24pm)",0.0,0.0,,0.27899999999999997,stocktwits,['reserves are in decline'],Headline should read: &quot;Saudi&#39;s are in capable of increasing oil capacity because reserves are in decline.&quot; http://stks.co/Xwy $XOM $CHK $BP,0.0,Headline should read: Saudi's are in capable of increasing oil capacity because reserves are in decline _url $XOM $CHK $BP,headlin should read: saudi' are in capabl of increas oil capac becaus reserv are in declin _url $XOM $CHK $BP,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.19999999999999996,0.19999999999999996,0.0,0.05,0.0,0.05,0.05,0.0,0.0,-1.0555670887827837,0.038405646668050686,-0.3006712338246489,0.05,0.65,1.125,0.875,-0.125,0.4444444444444444,0.1111111111111111,6.0441917070008815,1.658600247362198,7.663092150333314,1.532775999608972,7.1841488909374815,1.3862943611198906,7.1841488909374815,1.3862943611198906,6,12
14,15,$CELG,,0.0,"[3pm,24pm)",0.0,0.0,,0.591,stocktwits,"['all on a longer-term, technical swing long basis.']","So as of today&#39;s close (8/15/14), I&#39;m long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",0.3333333333333333,So as of today's close (8/15/14) I am long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term technical swing long basis .,So a of today' close (8/15/14) I am long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term technic swing long basi .,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7230641478098413,0.007265933153414839,-0.1012386686042489,0.08,0.6,0.25,0.125,0.0,0.25,0.0,5.03935626506524,1.7944144338485584,6.6183155370503455,1.831053747979285,6.673323267171494,1.7917594692280547,6.673323267171494,1.7917594692280547,23,16
15,16,$BBRY,,0.0,"[3pm,24pm)",0.0,0.0,,0.361,stocktwits,"[""let's see a big bounce""]",$BBRY let&#39;s see a big bounce,0.0,$BBRY let us see a big bounce,$BBRY let u see a big bounc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19999999999999996,0.19999999999999996,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,-0.1966645906857658,0.0010379904504878024,-0.05875025949761259,0.14285714285714285,0.7142857142857143,0.25,0.125,0.0,0.5,0.0,5.248941201072421,1.5926084885823748,6.739314653630109,1.5929029618079644,7.0531346949009475,1.4999365567767553,7.589613999045648,1.0986122886681098,44,33
16,17,$NVTL,,0.0,"[3pm,24pm)",0.0,0.0,Bullish,0.26,stocktwits,['above 2.25 and it could get going?'],$NVTL above 2.25 and it could get going?,0.0,$NVTL above 2.25 and it could get going ?,$NVTL abov 2.25 and it could get go ?,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3241990173690408,0.015569856757317702,-0.1377759324614215,0.1111111111111111,0.6666666666666666,0.125,0.125,0.0,0.5,0.0,4.5029173925742905,1.4941787689594388,7.086478337354697,1.2296936591835297,7.589613999045648,1.0986122886681098,7.589613999045649,1.0986122886681098,44,33
17,18,$GDX,0.0,0.23333333333333334,"[3pm,24pm)",0.0,1.0,,0.29,stocktwits,['possible double bottom set up'],@catskillfishing  Note the monthly chart of $GDX &amp; how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,0.0,Note the monthly chart of $GDX & how it recaptured support $GLD possible double bottom set up _url,note the monthli chart of $GDX & how it recaptur support $GLD possibl doubl bottom set up _url,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.3999999999999999,0.3999999999999999,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,-0.7162134108366214,0.04989274098678287,-0.19797937858971704,0.16666666666666666,0.6111111111111112,0.625,0.5,-0.125,0.2,0.1,5.066188501785215,1.3295666066986271,7.3672200483877655,1.1808071665114757,7.58961399904565,1.0986122886681096,7.58961399904565,1.0986122886681096,6,16
18,19,$ISRG,,0.0,"[9am,3pm)",0.0,1.0,,0.887,stocktwits,"['trading at all-time high', 'strong earnings report']",$isrg trading at all-time high after strong earnings report with 4 days of short interest.,0.16666666666666666,$isrg trading at all-time high after strong earnings report with 4 days of short interest .,$isrg trade at all-tim high after strong earn report with 4 day of short interest .,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5999999999999999,0.3999999999999999,0.0,0.125,0.0,0.0625,0.0,0.0,0.0,-0.5702027541346629,0.037852051761123606,-0.19244342952044846,0.125,0.75,0.625,0.5,-0.125,0.2222222222222222,0.1111111111111111,4.792095792558989,1.4042781463517453,7.425561225491906,1.0986122886681096,7.555825240036636,1.0986122886681096,7.58961399904565,1.0986122886681096,4,4
19,20,$VLTC,,0.0,"[3pm,24pm)",0.0,0.0,,0.33,stocktwits,['If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros'],"$ISR SPECULATION - If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros $PTBI, Icahn $VLTC, et al.",0.16666666666666666,$ISR SPECULATION - If positive outcome with lung study5/8 we may see a 13D Filing by Soros $PTBI Icahn $VLTC et al .,$ISR specul - If posit outcom with lung study5/8 we may see a 13d file by soro $PTBI icahn $VLTC et al .,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0.3999999999999999,0.3999999999999999,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,-0.6475676423776906,0.18469310082347246,-0.1899522524392776,0.17391304347826086,0.5217391304347826,0.5,0.625,-0.125,0.14285714285714285,0.14285714285714285,5.694159141718616,1.762100856713339,6.86458916829796,1.6094379124341,6.879301929923073,1.6094379124341,6.896466818485703,1.6094379124341003,28,16
20,21,$UVXY,,0.0,"[3pm,24pm)",0.0,0.0,,-0.32,stocktwits,"['Put the chum out there at key support then next level down', 'careful']",$UVXY Put the chum out there at key support then next level down - careful,0.0,$UVXY Put the chum out there at key support then next level down - careful,$UVXY put the chum out there at key support then next level down - care,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7999999999999998,0.3999999999999999,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,-0.8640232509860918,0.03660646322053829,-0.33028856134523554,0.06666666666666667,0.8666666666666667,-0.25,0.125,-0.25,0.1111111111111111,0.2222222222222222,5.186683579766387,1.4205917598691364,7.555825240036636,1.0986122886681096,7.58961399904565,1.0986122886681096,7.589613999045649,1.0986122886681096,23,18
21,22,$C,1.0,0.016666666666666666,"[0am,9am)",0.0,0.0,,0.32899999999999996,stocktwits,['Good idea buy half this and half BAC?'],$C Good idea buy half this and half BAC?,0.0,$C Good idea buy half this and half BAC ?,$C good idea buy half thi and half bac ?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6000000000000001,0.6000000000000001,0.0,0.1,0.0,0.1,0.0,0.0,0.0,-0.5135284755380259,0.03923603902844075,-0.2014393467580099,0.2,0.7,0.875,0.75,0.0,0.5,0.0,6.143581198235159,1.846041952015273,7.531690412173053,1.139709727589793,7.589613999045647,1.0986122886681098,7.589613999045648,1.0986122886681098,23,38
22,23,$BABA,,0.0,"[9am,3pm)",0.0,0.0,,-0.39,stocktwits,['Alibaba IPO hoopla canâ€™t hide risk of Chinese stocks'],&quot;Alibaba IPO hoopla can’t hide risk of Chinese stocks&quot; http://stks.co/g153b and http://stks.co/h151z $BABA $SPY #notForMe,0.0,Alibaba IPO hoopla can not hide risk of Chinese stocks _url and _url $BABA $SPY #notForMe,alibaba ipo hoopla can not hide risk of chines stock _url and _url $BABA $SPY #notform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.6,0.0,-0.4,0.0,0.125,0.0,0.0625,0.0,0.0,-1.1073282125804451,0.07715729015293049,-0.7334440523147188,0.1875,0.4375,-0.875,0.125,-0.625,0.14285714285714285,0.42857142857142855,5.222918577941951,1.6126973050488915,6.990737704965629,1.4427442630858744,7.137710197867847,1.4231548254933601,7.184148890937483,1.3862943611198906,6,11
23,24,$AMTD,,0.0,"[3pm,24pm)",0.0,0.0,,0.591,stocktwits,"['all on a longer-term, technical swing long basis.']","So as of today&#39;s close (8/15/14), I&#39;m long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",0.3333333333333333,So as of today's close (8/15/14) I am long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term technical swing long basis .,So a of today' close (8/15/14) I am long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term technic swing long basi .,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7230641478098413,0.007265933153414839,-0.1012386686042489,0.08,0.6,0.25,0.125,0.0,0.25,0.0,5.03935626506524,1.7944144338485584,6.6183155370503455,1.831053747979285,6.673323267171494,1.7917594692280547,6.673323267171494,1.7917594692280547,23,16
24,25,$ZC_F,,0.0,"[3pm,24pm)",0.0,0.0,,-0.122,stocktwits,['looks like drought conditions in soil already'],"$ZC_F One thing you can&#39;t short here is $DBA food. Its barely getting warm in chicago, and it looks like drought conditions in soil already",0.0,$ZC_F One thing you can not short here is $DBA food Its barely getting warm in chicago and it looks like drought conditions in soil already,$ZC_F one thing you can not short here is $DBA food it bare get warm in chicago and it look like drought condit in soil alreadi,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5999999999999999,0.3999999999999999,0.0,0.07692307692307693,0.0,0.07692307692307693,0.038461538461538464,0.0,0.0,-0.9221507162134123,0.13860632482181168,-0.16711646252854484,0.15384615384615385,0.7692307692307693,-0.875,0.125,-0.625,0.3076923076923077,0.23076923076923078,5.410210229868693,1.3360980971334968,7.270746968180274,1.1213025260573526,7.589613999045645,1.09861228866811,7.589613999045646,1.09861228866811,6,6
25,26,$GALE,,0.0,"[3pm,24pm)",0.0,0.0,Bullish,0.36,stocktwits,"[""Can't imagine shorts wanting to go into the weekend without taking care of their position""]",$GALE Can&#39;t imagine shorts wanting to go into the weekend without taking care of their position.,0.5,$GALE can not imagine shorts wanting to go into the weekend without taking care of their position .,$GALE can not imagin short want to go into the weekend without take care of their posit .,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3999999999999999,0.3999999999999999,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,-1.0401356307521983,0.0666389869213202,-0.17818836066708188,0.05555555555555555,0.8888888888888888,-0.875,0.25,-0.625,0.1111111111111111,0.2222222222222222,5.104887393326766,1.3986952690574836,7.283272675703343,1.1653755246824071,7.589613999045651,1.0986122886681096,7.58961399904565,1.0986122886681096,23,6
26,27,$VRS,,0.0,"[3pm,24pm)",0.0,0.0,,0.113,stocktwits,"['nice volume', 'watch 330 resistance']",$VRS nice volume.watch 330 resistance,0.0,$VRS nice volume atch 330 resistance,$VRS nice volum atch 330 resist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6000000000000001,0.6000000000000001,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.04650197218185559,0.08753719465780896,-0.06096463912532002,0.5,0.16666666666666666,0.125,0.875,-0.75,0.3333333333333333,0.3333333333333333,5.675633205680111,1.7318894765695794,7.454458963009593,1.0986122886681098,7.589613999045648,1.0986122886681098,7.589613999045648,1.0986122886681098,47,39
27,28,$SIMO,,0.0,"[3pm,24pm)",0.0,0.0,Bullish,0.408,stocktwits,"['$SIMO Basing nice', 'A close over 24.18 is bullish']",&quot;@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY&quot; watch for a close near HOD. Currently up +3%&quot; up +5%,0.0,$SIMO Basing nice A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD Currently up +3% up 5 %,$SIMO base nice A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near hod current up +3% up 5 %,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0.6000000000000001,0.6000000000000001,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.0,-0.6485364334648133,0.08753719465780896,-0.1628261019998617,0.08333333333333333,0.5833333333333334,0.625,0.5,0.0,0.2222222222222222,0.0,5.555275836325705,1.888161988089676,7.381302445114709,1.1207416788567082,7.58961399904565,1.0986122886681096,7.58961399904565,1.0986122886681096,16,16
28,29,$FB,,0.0,"[0am,9am)",0.0,0.0,,0.645,stocktwits,['Big Money Is Pouring Into Facebook From All Directions'],$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,0.16666666666666666,$FB Big Money Is Pouring Into Facebok From All Directions url,$FB big money Is pour into facebok from all direct url,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19999999999999996,0.19999999999999996,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,-0.306760777800845,0.10677461767351737,-0.21029686526883962,0.09090909090909091,0.7272727272727273,0.125,0.125,0.0,0.2,0.0,5.453495256831419,1.3515593947844151,7.589613999045649,1.0986122886681098,7.589613999045648,1.0986122886681098,7.589613999045647,1.0986122886681098,12,34
